"","playerId","investment","returns","roundNum","gameNum.f","condition.f","RS_score","LPFS_score","investorState.f","inv_pct","ret_pct_0","next_investment","postTrState","investorState","Joint_State","Next_Joint_State"
"72","472H2sA4L7eLRX33z",19,34,12,"post","Control",9.22222222222222,2.08333333333333,"happy",0.95,0.596491228070175,2,"4","3","3-4","3-4"
"73","472H2sA4L7eLRX33z",2,3,13,"post","Control",9.22222222222222,2.08333333333333,"happy",0.1,0.5,18,"4","3","3-4","3-4"
"74","472H2sA4L7eLRX33z",18,22,14,"post","Control",9.22222222222222,2.08333333333333,"happy",0.9,0.407407407407407,16,"4","3","3-4","3-4"
"75","472H2sA4L7eLRX33z",16,20,15,"post","Control",9.22222222222222,2.08333333333333,"happy",0.8,0.416666666666667,0,"4","3","3-4",NA
"76","4TLhoa3TtzzjXC8aj",13,18,1,"post","Manipulation",3.22222222222222,1.25,"neutral",0.65,0.461538461538462,10,"5","2","2-5","2-5"
"77","4TLhoa3TtzzjXC8aj",10,14,2,"post","Manipulation",3.22222222222222,1.25,"neutral",0.5,0.466666666666667,13,"5","2","2-5","2-4"
"78","4TLhoa3TtzzjXC8aj",13,20,3,"post","Manipulation",3.22222222222222,1.25,"neutral",0.65,0.512820512820513,4,"4","2","2-4","2-4"
"79","4TLhoa3TtzzjXC8aj",4,9,4,"post","Manipulation",3.22222222222222,1.25,"neutral",0.2,0.75,10,"4","2","2-4","2-1"
"80","4TLhoa3TtzzjXC8aj",10,14,5,"post","Manipulation",3.22222222222222,1.25,"neutral",0.5,0.466666666666667,2,"1","2","2-1","2-1"
"81","4TLhoa3TtzzjXC8aj",2,2,6,"post","Manipulation",3.22222222222222,1.25,"neutral",0.1,0.333333333333333,8,"1","2","2-1","2-2"
"82","4TLhoa3TtzzjXC8aj",8,10,7,"post","Manipulation",3.22222222222222,1.25,"neutral",0.4,0.416666666666667,10,"2","2","2-2","2-2"
"83","4TLhoa3TtzzjXC8aj",10,13,8,"post","Manipulation",3.22222222222222,1.25,"neutral",0.5,0.433333333333333,4,"2","2","2-2","2-2"
"84","4TLhoa3TtzzjXC8aj",4,5,9,"post","Manipulation",3.22222222222222,1.25,"neutral",0.2,0.416666666666667,9,"2","2","2-2","2-1"
"85","4TLhoa3TtzzjXC8aj",9,13,10,"post","Manipulation",3.22222222222222,1.25,"neutral",0.45,0.481481481481481,7,"1","2","2-1","2-1"
"86","4TLhoa3TtzzjXC8aj",7,9,11,"post","Manipulation",3.22222222222222,1.25,"neutral",0.35,0.428571428571429,13,"1","2","2-1","2-1"
"87","4TLhoa3TtzzjXC8aj",13,3,12,"post","Manipulation",3.22222222222222,1.25,"neutral",0.65,0.0769230769230769,2,"1","2","2-1","1-1"
"88","4TLhoa3TtzzjXC8aj",2,5,13,"post","Manipulation",3.22222222222222,1.25,"unhappy",0.1,0.833333333333333,0,"1","1","1-1","1-2"
"89","4TLhoa3TtzzjXC8aj",0,0,14,"post","Manipulation",3.22222222222222,1.25,"unhappy",0,0,4,"2","1","1-2","1-2"
"90","4TLhoa3TtzzjXC8aj",4,6,15,"post","Manipulation",3.22222222222222,1.25,"unhappy",0.2,0.5,0,"2","1","1-2",NA
"91","4WWd3DsStMyZc3KSB",12,24,1,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.6,0.666666666666667,18,"5","2","2-5","2-5"
"92","4WWd3DsStMyZc3KSB",18,36,2,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.9,0.666666666666667,13,"5","2","2-5","2-5"
"93","4WWd3DsStMyZc3KSB",13,26,3,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.65,0.666666666666667,13,"5","2","2-5","2-5"
"94","4WWd3DsStMyZc3KSB",13,27,4,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.65,0.692307692307692,7,"5","2","2-5","2-4"
"95","4WWd3DsStMyZc3KSB",7,7,5,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.35,0.333333333333333,7,"4","2","2-4","2-4"
"96","4WWd3DsStMyZc3KSB",7,12,6,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.35,0.571428571428571,10,"4","2","2-4","2-4"
"97","4WWd3DsStMyZc3KSB",10,15,7,"post","Control",8.33333333333333,2.33333333333333,"neutral",0.5,0.5,18,"4","2","2-4","2-4"
