StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1,Q7_2,Q8_1,Q8_2,Q9_1,Q9_2,Q10_1,Q10_2,Q_att_1,Q_att_2,Q11_1,Q11_2,Q12_1,Q12_2,PROLIFIC_PID
2023-11-20 16:56:26,2023-11-20 16:58:25,IP Address,100,118,True,2023-11-20 16:58:25,R_RkSeZmEWshDRF0R,anonymous,EN-GB,I accept,5bf801e3361a9b00012654c5,4,4,6,6,6,5,6,5,6,5,6,6,5,5,5,5,6,5,6,6,5bf801e3361a9b00012654c5
2023-11-20 16:56:15,2023-11-20 16:58:28,IP Address,100,132,True,2023-11-20 16:58:29,R_2rZxnj8rByQEyfh,anonymous,EN-GB,I accept,6070cfb276c26c04581246df,3,6,4,6,1,6,2,4,3,5,1,6,5,5,1,6,4,5,2,6,6070cfb276c26c04581246df
2023-11-20 16:56:01,2023-11-20 16:58:30,IP Address,100,149,True,2023-11-20 16:58:31,R_1Fs70Q37LpMxllV,anonymous,EN-GB,I accept,61092388694e2adf5487d611,4,5,5,3,1,6,6,1,5,4,1,1,5,4,6,6,6,5,4,5,61092388694e2adf5487d611
2023-11-20 16:55:56,2023-11-20 16:58:30,IP Address,100,154,True,2023-11-20 16:58:31,R_UEMsu9qkCUFHp5L,anonymous,EN-GB,I accept,6112cf0b9c1cf4219c5c2675,2,6,3,5,2,6,4,4,2,6,1,6,4,4,6,6,4,5,2,6,6112cf0b9c1cf4219c5c2675
2023-11-20 16:55:51,2023-11-20 16:58:35,IP Address,100,164,True,2023-11-20 16:58:36,R_1lrQH1G7MxPfg8p,anonymous,EN-GB,I accept,5adf6992dee8590001b060a8,5,5,5,4,5,5,5,4,5,5,5,4,5,5,6,6,5,4,4,4,5adf6992dee8590001b060a8
2023-11-20 16:56:13,2023-11-20 16:58:37,IP Address,100,144,True,2023-11-20 16:58:38,R_1N7WVy8tFi2RQPd,anonymous,EN-GB,I accept,6171b1bc917dfe828a3130dd,5,6,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,6171b1bc917dfe828a3130dd
2023-11-20 16:56:40,2023-11-20 16:58:39,IP Address,100,119,True,2023-11-20 16:58:40,R_SZ6c2LW52wyFQk1,anonymous,EN-GB,I accept,5e5c993cd0394c474f7cc502,4,5,5,3,3,4,4,4,5,4,2,4,4,4,6,6,4,4,4,4,5e5c993cd0394c474f7cc502
2023-11-20 16:55:59,2023-11-20 16:58:40,IP Address,100,160,True,2023-11-20 16:58:40,R_sYCi29lX4W1AXe1,anonymous,EN-GB,I accept,63d8329a17b5825c42fba870,5,6,5,6,1,6,4,6,3,6,4,4,4,4,1,6,4,5,2,5,63d8329a17b5825c42fba870
2023-11-20 16:56:28,2023-11-20 16:58:40,IP Address,100,131,True,2023-11-20 16:58:41,R_1g5hm3sRvwqAkG4,anonymous,EN-GB,I accept,637f8378bdb4a393482f4ff3,4,5,5,4,5,3,5,3,5,4,5,5,5,4,6,6,4,3,5,4,637f8378bdb4a393482f4ff3
2023-11-20 16:56:03,2023-11-20 16:58:41,IP Address,100,157,True,2023-11-20 16:58:41,R_1BsIJiZKKnblvyx,anonymous,EN-GB,I accept,5e8246fd32be46974fd265d2,1,6,5,5,2,6,2,6,2,6,1,6,4,3,6,6,2,6,2,6,5e8246fd32be46974fd265d2
2023-11-20 16:56:08,2023-11-20 16:58:41,IP Address,100,153,True,2023-11-20 16:58:41,R_3WrSrSZtapS73ih,anonymous,EN-GB,I accept,5f0e28b536c61b1430d2248e,3,2,4,3,4,3,3,2,4,3,3,1,6,6,6,6,4,4,2,3,5f0e28b536c61b1430d2248e
2023-11-20 16:56:43,2023-11-20 16:58:42,IP Address,100,119,True,2023-11-20 16:58:43,R_2uwepcTGn38abN9,anonymous,EN-GB,I accept,5cfbb39480fed30019301b72,5,4,2,6,5,4,1,5,4,4,1,5,6,2,1,6,4,5,5,4,5cfbb39480fed30019301b72
