"","playerId","investment","returns","roundNum","gameNum.f","condition.f","LPFS_score","investorState.f","inv_pct","ret_pct_0","RS_score","next_investment","full_ctrst","postTrState","investorState","Joint_State","Next_Joint_State"
"44","3L4Bau2CqJ4NGwJZZ",3,7,14,"pre","Manipulation",1.58333333333333,"unhappy",0.15,0.777777777777778,4.33333333333333,1,"0","4","1","1-4","1-4"
"45","3L4Bau2CqJ4NGwJZZ",1,3,15,"pre","Manipulation",1.58333333333333,"unhappy",0.05,1,4.33333333333333,0,"0","4","1","1-4",NA
"46","3L4Bau2CqJ4NGwJZZ",9,12,1,"post","Manipulation",1.58333333333333,"neutral",0.45,0.444444444444444,4.33333333333333,19,"2","1","2","2-1","3-1"
"47","3L4Bau2CqJ4NGwJZZ",19,0,2,"post","Manipulation",1.58333333333333,"happy",0.95,0,4.33333333333333,3,"2","1","3","3-1","1-4"
"48","3L4Bau2CqJ4NGwJZZ",3,5,3,"post","Manipulation",1.58333333333333,"unhappy",0.15,0.555555555555556,4.33333333333333,4,"2","4","1","1-4","1-4"
"49","3L4Bau2CqJ4NGwJZZ",4,10,4,"post","Manipulation",1.58333333333333,"unhappy",0.2,0.833333333333333,4.33333333333333,3,"2","4","1","1-4","1-1"
"50","3L4Bau2CqJ4NGwJZZ",3,0,5,"post","Manipulation",1.58333333333333,"unhappy",0.15,0,4.33333333333333,4,"2","1","1","1-1","1-1"
"51","3L4Bau2CqJ4NGwJZZ",4,6,6,"post","Manipulation",1.58333333333333,"unhappy",0.2,0.5,4.33333333333333,4,"2","1","1","1-1","1-1"
"52","3L4Bau2CqJ4NGwJZZ",4,0,7,"post","Manipulation",1.58333333333333,"unhappy",0.2,0,4.33333333333333,2,"2","1","1","1-1","1-1"
"53","3L4Bau2CqJ4NGwJZZ",2,0,8,"post","Manipulation",1.58333333333333,"unhappy",0.1,0,4.33333333333333,7,"2","1","1","1-1","1-1"
"54","3L4Bau2CqJ4NGwJZZ",7,0,9,"post","Manipulation",1.58333333333333,"unhappy",0.35,0,4.33333333333333,2,"2","1","1","1-1","1-4"
"55","3L4Bau2CqJ4NGwJZZ",2,6,10,"post","Manipulation",1.58333333333333,"unhappy",0.1,1,4.33333333333333,2,"2","4","1","1-4","1-1"
